date,sta,flight_no,origin,origin_code,airline_name,aircraft_type,tail_reg,icao_cat,cbp_flag,actual_landing,gate
31-Mar-26,14:50,EI163,London (LHR),LHR,Aer Lingus,A20N,EI-NSG,C,FALSE,,
31-Mar-26,14:50,EI393,Hamburg (HAM),HAM,Aer Lingus,A320,EI-DEI,C,FALSE,,
31-Mar-26,14:50,FR830,Venice (VCE),VCE,Ryanair,B738,9H-QEW,C,FALSE,,
31-Mar-26,14:55,FR6841,Naples (NAP),NAP,Ryanair,B738,EI-DPN,C,FALSE,,
31-Mar-26,15:00,FR5556,Tenerife (TFS),TFS,Ryanair,B738,SP-RNS,C,FALSE,,
31-Mar-26,15:05,BA4464,London (LCY),LCY,British Airways,E190,G-LCAE,C,FALSE,,
31-Mar-26,15:05,FR95,Gran Canaria (LPA),LPA,Ryanair,B38M,EI-HEN,C,FALSE,,
31-Mar-26,15:25,AF1816,Paris (CDG),CDG,Air France,BCS3,F-HZUN,C,FALSE,,
31-Mar-26,15:25,EI477,Dubrovnik (DBV),DBV,Aer Lingus,A320,EI-DEK,C,FALSE,,
31-Mar-26,15:25,EI441,Athens (ATH),ATH,Aer Lingus,A320,EI-DVK,C,FALSE,,
31-Mar-26,15:30,EI209,Manchester (MAN),MAN,Aer Lingus,A320,EI-GAM,C,FALSE,,
31-Mar-26,15:35,FR507,Bristol (BRS),BRS,Ryanair,B738,SP-RKD,C,FALSE,,
31-Mar-26,15:35,FR3007,Amsterdam (AMS),AMS,Ryanair,B738,EI-DPP,C,FALSE,,
31-Mar-26,15:35,FR5404,Murcia (RMU),RMU,Ryanair,B38M,EI-IHY,C,FALSE,,
31-Mar-26,15:35,FR7047,Malaga (AGP),AGP,Ryanair,B38M,EI-ILC,C,FALSE,,
31-Mar-26,15:40,FR153,Leeds (LBA),LBA,Ryanair,B38M,9H-VUW,C,FALSE,,
31-Mar-26,15:40,FR1115,Reus (REU),REU,Ryanair,B738,9H-QCT,C,FALSE,,
31-Mar-26,15:45,EI165,London (LHR),LHR,Aer Lingus,A320,EI-FNJ,C,FALSE,,
31-Mar-26,16:00,TK1977,Istanbul (IST),IST,Turkish Airlines,B738,TC-JHV,C,FALSE,,
